Date,Open,High,Low,Close,Volume
4/26/2021 16:00:00,34044.23,34148.94,33941.37,33981.57,285406440
4/27/2021 16:00:00,33932.13,34043.98,33870.46,33984.93,294947064
4/28/2021 16:00:00,33860.46,33946.6,33805.56,33820.38,353023623
4/29/2021 16:00:00,33855.64,34087.21,33744.28,34060.36,409604111
4/30/2021 16:00:00,33988.75,33988.75,33784.96,33874.85,376105712
5/3/2021 16:00:00,33904.89,34221.06,33904.89,34113.23,291339877
5/4/2021 16:00:00,34080.2,34147.78,33765.68,34133.03,410172302
5/5/2021 16:00:00,34163.99,34331.2,34039.66,34230.34,255811646
5/6/2021 16:00:00,34245.11,34561.29,34185.06,34548.53,317117461
5/7/2021 16:00:00,34578.27,34811.39,34464.31,34777.76,311627548
5/10/2021 16:00:00,34785.27,35091.56,34741.57,34742.82,370038457
5/11/2021 16:00:00,34572.74,34572.74,34075.31,34269.16,413181901
5/12/2021 16:00:00,34206.4,34207.87,33555.22,33587.66,383577786
5/13/2021 16:00:00,33624.74,34181.77,33623.49,34021.45,352805628
5/14/2021 16:00:00,34050.86,34454.05,34050.86,34382.13,307383987
5/17/2021 16:00:00,34375.29,34383.84,34176.65,34327.79,293356244
5/18/2021 16:00:00,34351.18,34408.99,34044.1,34060.66,301781621
5/19/2021 16:00:00,33945.81,33945.81,33473.8,33896.04,353998693
5/20/2021 16:00:00,33906.3,34233.4,33872.41,34084.15,324395506
5/21/2021 16:00:00,34121.91,34415.48,34121.91,34207.84,308842675
5/24/2021 16:00:00,34253.87,34472.51,34253.87,34393.98,251806132
5/25/2021 16:00:00,34428.66,34511.35,34266.03,34312.46,289949633
5/26/2021 16:00:00,34336.34,34409.59,34271.44,34323.05,259807250
5/27/2021 16:00:00,34432.47,34608.82,34389.24,34464.64,520626591
5/28/2021 16:00:00,34558.5,34631.11,34520.09,34529.45,290852579
6/1/2021 16:00:00,34584.19,34849.32,34542.87,34575.31,294787721
6/2/2021 16:00:00,34614.62,34706.65,34545.96,34600.38,265156188
6/3/2021 16:00:00,34550.31,34667.41,34334.41,34577.04,299737218
6/4/2021 16:00:00,34618.69,34772.12,34618.69,34756.39,271564228
6/7/2021 16:00:00,34766.2,34820.91,34574.51,34630.24,259443775
6/8/2021 16:00:00,34645.84,34665.38,34452.94,34599.82,296085650
6/9/2021 16:00:00,34626.16,34654.67,34439.37,34447.14,246543250
6/10/2021 16:00:00,34502.51,34737.79,34447.25,34466.24,310878295
6/11/2021 16:00:00,34499.81,34618.09,34328.65,34479.6,262624671
6/14/2021 16:00:00,34472.52,34472.52,34211.54,34393.75,302550505
6/15/2021 16:00:00,34397.1,34420.38,34199.16,34299.33,274131630
6/16/2021 16:00:00,34308.48,34333.25,33917.11,34033.67,348025985
6/17/2021 16:00:00,34014.38,34091.79,33626.61,33823.45,355917350
6/18/2021 16:00:00,33622.7,33622.7,33271.93,33290.08,569378327
6/21/2021 16:00:00,33312.07,33908.09,33312.07,33876.97,324444085
6/22/2021 16:00:00,33872.56,34040.7,33751.06,33945.58,285329220
6/23/2021 16:00:00,33948.54,34009.4,33869.83,33874.24,257053519
6/24/2021 16:00:00,33933.91,34233.02,33933.91,34196.82,279381360
6/25/2021 16:00:00,34328.1,34501.02,34314.8,34433.84,456029631
6/28/2021 16:00:00,34428.1,34449.65,34186.13,34283.27,281286074
6/29/2021 16:00:00,34338.89,34469.83,34266.83,34292.29,288645318
6/30/2021 16:00:00,34290.74,34553.16,34245.48,34502.51,298634574
7/1/2021 16:00:00,34507.32,34640.28,34498.85,34633.53,269311034
7/2/2021 16:00:00,34642.42,34821.93,34613.49,34786.35,303059001
7/6/2021 16:00:00,34790.16,34814.2,34358.42,34577.37,348429812
7/7/2021 16:00:00,34604.17,34708.78,34435.59,34681.79,305379770
7/8/2021 16:00:00,34569.01,34569.01,34145.59,34421.93,335759645
7/9/2021 16:00:00,34457.51,34893.72,34457.51,34870.16,301753076
7/12/2021 16:00:00,34836.75,35014.9,34730.15,34996.18,302280771
7/13/2021 16:00:00,34959.96,35018.79,34876.89,34888.79,323682044
7/14/2021 16:00:00,34920.83,35069.18,34826.87,34933.23,348660804
7/15/2021 16:00:00,34924.81,34990.41,34762.87,34987.02,320445798
7/16/2021 16:00:00,35007.94,35090.01,34647.82,34687.85,328984673
7/19/2021 16:00:00,34528.48,34528.48,33741.76,33962.04,450161129
7/20/2021 16:00:00,33981.79,34621.79,33981.79,34511.99,388075711
7/21/2021 16:00:00,34556.96,34820.24,34556.96,34798,327186142
7/22/2021 16:00:00,34799.68,34879.28,34673.03,34823.35,294650675
7/23/2021 16:00:00,34855.11,35095.33,34855.11,35061.55,315059460
7/26/2021 16:00:00,35055.86,35150.37,34950.19,35144.31,264800476
7/27/2021 16:00:00,35078.9,35078.9,34878.07,35058.52,335249976
7/28/2021 16:00:00,35109.95,35116.37,34876.84,34930.93,347172175
7/29/2021 16:00:00,34985.99,35171.52,34985.99,35084.53,223665901
7/30/2021 16:00:00,35013.26,35106.3,34871.13,34935.47,281141932
8/2/2021 16:00:00,34968.56,35192.11,34808.2,34838.16,244889950
8/3/2021 16:00:00,34864.1,35120.94,34714.33,35116.4,259822560
8/4/2021 16:00:00,35047.44,35047.44,34790.62,34792.67,245303959
8/5/2021 16:00:00,34815.61,35067.54,34815.61,35064.25,217389689
8/6/2021 16:00:00,35077.44,35246.79,35077.44,35208.51,231565523
8/9/2021 16:00:00,35229.67,35229.67,35041.24,35101.85,207850633
8/10/2021 16:00:00,35135.17,35285.16,35091.91,35264.67,255240477
8/11/2021 16:00:00,35300.89,35501.16,35300.89,35484.97,233041968
8/12/2021 16:00:00,35481.94,35510.77,35352.53,35499.85,236163711
8/13/2021 16:00:00,35551.56,35610.57,35474.78,35515.38,238678774
8/16/2021 16:00:00,35490.83,35631.19,35231.87,35625.4,294011375
8/17/2021 16:00:00,35500.01,35500.01,35120.31,35343.28,310152565
8/18/2021 16:00:00,35310.2,35356.8,34943.41,34960.69,291062335
8/19/2021 16:00:00,34874.67,34997.81,34690.25,34894.12,335046664
8/20/2021 16:00:00,34917.96,35177.26,34867.07,35120.08,269545237
8/23/2021 16:00:00,35160.97,35428.91,35160.97,35335.71,250960863
8/24/2021 16:00:00,35382.72,35445.47,35356.18,35366.26,230481000
8/25/2021 16:00:00,35388.77,35501.14,35287.63,35405.5,239707526
