Date,Price,Open,High,Low,Change %
8/1/2016,111.61,110.72,111.77,109.13,1.21%
07/29/2016,110.28,108.89,111.07,108.41,2.36%
07/28/2016,107.74,108.04,109.04,105.87,0.14%
07/27/2016,107.59,104.22,108.31,102.63,4.46%
07/26/2016,103,101.23,103.64,99.88,3.11%
07/25/2016,99.89,102.74,102.74,98.65,-3.71%
07/22/2016,103.74,103.04,104.31,102.61,-0.29%
07/21/2016,104.04,101.16,104.57,101.06,3.55%
07/20/2016,100.47,104.91,104.91,100.1,-5.93%
07/19/2016,106.8,107.97,108.21,106.59,-1.49%
07/18/2016,108.42,107.5,108.43,106.76,0.64%
07/15/2016,107.73,107.26,108.91,107.16,-0.63%
07/14/2016,108.41,106.93,108.61,105.08,-0.05%
07/13/2016,108.46,106.74,109.14,106.07,3.09%
7/12/2016,105.21,107.78,108.61,105.18,-2.76%
7/11/2016,108.2,106.37,108.89,106.19,0.94%
7/8/2016,107.19,104,107.5,103.49,3.23%
7/7/2016,103.84,105.79,105.82,103.21,-2.83%
7/6/2016,106.86,104.61,107.24,104.59,3.28%
7/5/2016,103.47,103.44,104.41,100.73,0.95%
7/1/2016,102.5,99.41,102.81,99.4,4.98%
06/30/2016,97.64,96.93,97.78,95.47,1.92%
06/29/2016,95.8,94.28,96.99,94.28,2.71%
06/28/2016,93.27,92.91,94.85,92.69,-0.84%
06/27/2016,94.06,94.45,96.22,91.61,0.38%
06/24/2016,93.7,91.37,95.39,91.36,3.62%
06/23/2016,90.43,90.31,91.53,89.62,1.32%
06/22/2016,89.25,89.25,90.96,88.32,0.00%
06/21/2016,89.25,90.07,90.08,88.73,-1.94%
06/20/2016,91.02,89.34,91.65,88.26,0.75%
06/17/2016,90.34,90.87,91.99,89.19,0.53%
06/16/2016,89.86,93.37,94.99,88.89,-2.77%
06/15/2016,92.42,88.57,93.54,88.57,4.41%
06/14/2016,88.52,90.75,90.86,87.3,-2.27%
06/13/2016,90.58,91.48,92.71,89.41,0.21%
6/10/2016,90.39,92.64,94.19,89.96,-2.11%
6/9/2016,92.34,91.56,92.5,90.69,0.80%
6/8/2016,91.61,89.54,93.69,89.51,3.36%
6/7/2016,88.63,88.9,89.93,88.18,-1.42%
6/6/2016,89.91,89.34,90.11,87.86,0.95%
6/3/2016,89.06,82.04,89.23,82.04,10.43%
6/2/2016,80.65,79.8,81.59,79.27,0.26%
6/1/2016,80.44,81.04,81.76,79.05,-0.17%
05/31/2016,80.58,79.01,82.18,78.62,1.47%
05/27/2016,79.41,81.26,82.03,79.07,-3.30%
05/26/2016,82.12,83.05,84.45,81.47,-0.13%
05/25/2016,82.23,79.52,82.83,77.99,2.60%
05/24/2016,80.15,84.36,84.39,80.05,-5.82%
05/23/2016,85.1,84.23,86.55,83.03,-0.40%
05/20/2016,85.44,86.15,86.5,83.13,0.12%
05/19/2016,85.34,82.55,85.54,80.75,1.98%
05/18/2016,83.68,90.15,90.49,83.51,-7.97%
05/17/2016,90.93,88.86,92.44,87.99,1.93%
05/16/2016,89.21,88.2,90.84,88.2,2.56%
05/13/2016,86.98,86.67,88.61,86.35,0.57%
5/12/2016,86.49,88.5,89.57,85.9,-1.99%
5/11/2016,88.25,86.69,89.27,85.26,3.11%
5/10/2016,85.59,82.55,85.92,81.71,3.77%
5/9/2016,82.48,87.32,87.35,82.28,-6.83%
5/6/2016,88.53,86.02,89.68,85.97,3.97%
5/5/2016,85.15,84.46,86.54,83.69,2.26%
5/4/2016,83.27,85.97,87.81,82.7,-4.54%
5/3/2016,87.23,90.59,90.8,86.7,-3.86%
5/2/2016,90.73,93.28,93.66,89.67,-2.28%
04/29/2016,92.85,87.7,92.87,87.69,6.85%
04/28/2016,86.9,83.82,87.95,83.82,4.16%
04/27/2016,83.43,82.35,83.61,81.14,1.66%
04/26/2016,82.07,80.65,82.14,79.18,2.38%
04/25/2016,80.16,80.91,81.58,79.49,-0.87%
04/22/2016,80.86,82.36,83.66,79.97,-2.09%
04/21/2016,82.59,82.4,84.21,81.45,1.31%
04/20/2016,81.52,82.98,85.27,81.11,-1.77%
04/19/2016,82.99,79.57,83.41,79.57,5.81%
04/18/2016,78.43,78.46,78.81,77.05,0.65%
04/15/2016,77.92,76.27,78.43,75.3,2.57%
04/14/2016,75.97,78.08,78.3,74.81,-3.14%
04/13/2016,78.43,79.33,80.36,78.24,-1.85%
4/12/2016,79.91,79.12,80.45,77.92,1.63%
4/11/2016,78.63,74.53,78.86,74.53,6.23%
4/8/2016,74.02,71.23,74.52,71.22,4.12%
4/7/2016,71.09,70.63,71.69,70.62,1.73%
4/6/2016,69.88,69.03,69.98,68.37,0.39%
4/5/2016,69.61,68.19,69.76,67.57,2.93%
4/4/2016,67.63,69.56,69.57,67.47,-3.00%
4/1/2016,69.72,68.5,69.72,66.71,0.30%
03/31/2016,69.51,70.95,71.34,69.48,-1.15%
03/30/2016,70.32,70.55,71.11,68.72,-0.61%
03/29/2016,70.75,67.09,71.22,66.71,5.25%
03/28/2016,67.22,67.82,67.92,65.93,-0.39%
